Name,Recipe Costing Report,,
Restaurant Name,Cafe Mellow,,
Restaurant Address,"40/1/40A, Odakkadu, Indhira Nagar, 2nd Street, Rayapuram, Tiruppur",,
Calculate from,Current average purchase price,,
,,,
Menu Name,Recipe Costing (₹),Selling Price (₹),Margin (%)
Signature Cold Coffee,65.657,199,67.007
Assorted Cup Cakes 5+1,30.404,150,79.731
Spiced Chai Fantasy,50.498,185,72.704
Garlic Potato Bites,21.749,139,84.353
Tiramisu Cake [ 500 Gm ],247.302,800,69.087
Tiramisu Cake [ 1 Kg ],497.178,1600,68.926
Double Chocolate Pastry,36.079,125,71.136
Paper Popper,0,120,100
Birthday Cap,0,0,0
Snow Spray,0,50,100
Number Candle,14,25,44
Mushroom Burger,36.114,179,79.824
Hazelnut Brownie,15.12,95,84.084
Filter Coffee Indulgence [ 1 Kg ],217.621,1740,87.493
Filter Coffee Indulgence [ 500 Gm ],98.477,870,88.681
Classic Mac & Cheese,68.619,275,75.048
Fresh Blueberry [ 1 Kg ],488.911,1760,72.221
Fresh Blueberry [ 500 Gm ],231.168,880,73.731
Hazelnut Chocolate Cake [ customized cake ],208.682,0,0
Hazelnut Chocolate Cake [ 1 Kg ],208.682,1200,82.61
Hazelnut Chocolate Cake [ 500 Gm ],104.308,600,82.615
Biscoff Modak,39.102,89,56.065
Redvelvet Swiss Roll,45.447,165,72.456
Tiramisu Pastry,34.409,170,79.76
La Opera Pastry,49.361,189,73.883
Paneer Frankie,37.047,145,74.45
Well Cake,50.105,155,67.674
Swiss Roll,44.846,139,67.737
Sky Lantern,150,200,25
Biscoff Pastry,47.233,160,70.48
Paneer Schezwan Cheese Pav,41.236,99,58.347
Paneer Cheese Pav,40.987,85,51.78
Chilli Paneer Roll,34.121,120,71.566
Paneer Cheese Roll,51.192,180,71.56
Veg Roll,28.831,70,58.813
Korean Cheese Garlic Bun,32.162,195,83.507
Fridge Magnet-Small,0,120,100
Resin Art Candle Stand,289.583,0,0
Aloo Tikki Chat,38.314,85,54.924
Crispy Paneer Chat,49.939,169,70.45
Dahi Aloo Tikki Chat,40.923,99,58.664
Hazelnut Almond Cake [ customized cake ],317.684,0,0
Hazelnut Almond Cake [ 1kg ],340.722,1240,72.522
Hazelnut Almond Cake [ 500 Gm ],172.441,620,72.187
Ferrero Rocher Moments [ 16 Pcs ],228.74,299,23.498
Ferrero Rocher Moments [ 8 Pcs ],149.165,199,25.043
Ferrero Rocher [ 24 Pcs ],668.515,950,29.63
Ferrero Rocher [ 16 Pcs ],414.472,589,29.631
Ferrero Rocher [ 8 Pcs ],235.912,349,32.403
Ferrero Rocher [ 4 Pcs ],134.554,169,20.382
Water Bottle,12.904,30,56.988
Belgium Chocolate Pastry,35.658,195,81.714
Mexican Cheesy Nachoos,70.914,189,62.479
Veggie Nuggets,40.48,149,72.833
Black Coffee,3.617,25,85.533
Filter Coffee,9.421,30,68.595
Chatpat Mayo Vada Pav[VWP],16.285,83,80.38
Sabudana Mayo Vada Pav[VWP],9.648,89,89.159
Paneer Mayo Vada Pav[VWP],33.791,95,64.431
Spinach Corn Mayo Vada Pav[VWP],9.648,88,89.036
Mixed Veg Mayo Vada Pav[VWP],15.907,83,80.835
Classic Mayo Vada Pav[VWP],14.763,78,81.073
Sabudana Schezwan Vada Pav[VWP],6.744,89,92.423
Spinach Corn Schezwan Vada Pav[VWP],6.744,88,92.337
Peri Peri Paneer Vada Pav[VWP],35.986,90,60.016
Tandoori Paneer Vada Pav[VWP],36.238,90,59.735
Chatpat Vada Pav[VWP],15.112,73,79.299
Sabudana Vada Pav[VWP],6.744,83,91.875
Paneer Vada Pav[VWP],32.617,85,61.627
Spinach Corn Vada Pav[VWP],6.744,78,91.354
Mixed Veg Vada Pav[VWP],14.733,73,79.817
Tandoori Vada Pav[VWP],17.211,73,76.423
Peri Peri Vada Pav[VWP],16.959,73,76.769
Classic Vada Pav[VWP],13.59,68,80.015
Paneer Schezwan Pav,32.867,89,63.071
Paneer Pav,32.617,79,58.713
Schezwan Vada Pav,13.839,79,82.482
Classic Vada Pav,13.59,65,79.093
Chatpat Cheese Vada Pav[VWP],23.481,83,71.71
Sabudana Cheese Vada Pav[VWP],15.113,93,83.749
Paneer Cheese Vada Pav[VWP],40.987,99,58.599
Tandoori Cheese Vada Pav[VWP],25.58,83,69.18
Peri Peri Cheese Vada Pav[VWP],25.328,83,69.484
Spinach Corn Cheese Vada Pav[VWP],15.113,88,82.826
Mixed Veg Cheese Vada Pav[VWP],23.103,83,72.165
Classic Cheese Vada Pav[VWP],21.959,78,71.847
